ID,Year,Area code,Area name,SOC code,Occupational title,Employment,Average wage,25th Percentile,50th Percentile,75th Percentile,Annual wage
1,2019,53,Washington,13-2011,Accountants & Auditors,32868,38.71,27.52,34.6,44.78,80503
2,2019,13380,"Bellingham, WA",13-2011,Accountants & Auditors,755,32.42,24.49,30.33,37.34,67417
3,2019,14740,"Bremerton-Silverdale, WA",13-2011,Accountants & Auditors,403,33.37,26.87,31.45,38.56,69416
4,2019,28420,"Kennewick-Richland, WA",13-2011,Accountants & Auditors,768,36.64,26.94,36.06,45.34,76211
5,2019,30300,"Lewiston, ID-WA",13-2011,Accountants & Auditors,145,33.52,22.94,28.45,37.49,69717
6,2019,31020,"Longview, WA",13-2011,Accountants & Auditors,243,34.42,26.21,31.82,43.15,71595
7,2019,34580,"Mount Vernon-Anacortes, WA",13-2011,Accountants & Auditors,311,35.51,27.48,32.64,40.69,73874
8,2019,36500,"Olympia-Tumwater, WA",13-2011,Accountants & Auditors,888,34.63,27.09,32.77,40.93,72033
9,2019,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2011,Accountants & Auditors,9197,35.78,26.33,32.62,42.03,74433
10,2019,42660,"Seattle-Tacoma-Bellevue, WA",13-2011,Accountants & Auditors,22906,40.76,28.58,36.09,46.9,84791
11,2019,44060,"Spokane-Spokane Valley, WA",13-2011,Accountants & Auditors,2483,34.74,26.72,31.86,39.18,72250
12,2019,47460,"Walla Walla, WA",13-2011,Accountants & Auditors,187,34.5,26.03,30.09,45.55,71748
13,2019,48300,"Wenatchee, WA",13-2011,Accountants & Auditors,286,34.5,26.28,33.06,43.39,71742
14,2019,49420,"Yakima, WA",13-2011,Accountants & Auditors,511,33.67,24.98,29.99,39.22,70043
15,2019,530006,Western Washington nonmetropolitan area,13-2011,Accountants & Auditors,759,31.86,24.54,29.55,37.37,66257
16,2019,530007,Eastern Washington nonmetropolitan area,13-2011,Accountants & Auditors,647,31.42,25.27,29.29,35.93,65350
17,2019,53,Washington,27-2011,Actors,691,,,,,
18,2019,38900,"Portland-Vancouver-Hillsboro, OR-WA",27-2011,Actors,87,20.37,10.85,11.45,12.13,
19,2019,42660,"Seattle-Tacoma-Bellevue, WA",27-2011,Actors,516,21.22,13.35,19.77,24.51,
20,2019,53,Washington,15-2011,Actuaries,365,64.24,43.61,60.95,79.29,133615
21,2019,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-2011,Actuaries,145,55.69,37.05,47.2,71.97,115852
22,2019,42660,"Seattle-Tacoma-Bellevue, WA",15-2011,Actuaries,320,64.79,44.49,61.76,79.54,134756
23,2019,53,Washington,51-9191,Adhesive Bonding Machine Operators & Tenders,578,23.45,16.27,21.01,30.11,48778
24,2019,13380,"Bellingham, WA",51-9191,Adhesive Bonding Machine Operators & Tenders,39,,,,,
25,2019,38900,"Portland-Vancouver-Hillsboro, OR-WA",51-9191,Adhesive Bonding Machine Operators & Tenders,82,15.33,12.98,14.59,17.06,31899
26,2019,44060,"Spokane-Spokane Valley, WA",51-9191,Adhesive Bonding Machine Operators & Tenders,87,18.24,12.83,19.98,22.8,37934
27,2019,530006,Western Washington nonmetropolitan area,51-9191,Adhesive Bonding Machine Operators & Tenders,12,20.03,17.3,19.53,23.14,41661
28,2019,53,Washington,23-1021,"Admin Law Judges, Adjudicators & Hearing Officers",400,53.22,43.29,49.79,57.09,110700
29,2019,38900,"Portland-Vancouver-Hillsboro, OR-WA",23-1021,"Admin Law Judges, Adjudicators & Hearing Officers",169,45.37,30.35,44.45,58.93,94357
30,2019,42660,"Seattle-Tacoma-Bellevue, WA",23-1021,"Admin Law Judges, Adjudicators & Hearing Officers",169,56.89,46.22,53.11,71.1,118332
31,2019,44060,"Spokane-Spokane Valley, WA",23-1021,"Admin Law Judges, Adjudicators & Hearing Officers",27,58.21,44.39,49.8,76.13,121069
32,2019,53,Washington,11-3011,Administrative Services Managers,5027,60.07,43.09,54.71,70.22,124948
33,2019,13380,"Bellingham, WA",11-3011,Administrative Services Managers,85,59.56,43.51,52.48,65.47,123896
34,2019,14740,"Bremerton-Silverdale, WA",11-3011,Administrative Services Managers,66,52.19,43.99,49.71,57.2,108567
35,2019,28420,"Kennewick-Richland, WA",11-3011,Administrative Services Managers,156,63.92,49.54,61.12,76.4,132962
36,2019,30300,"Lewiston, ID-WA",11-3011,Administrative Services Managers,33,37,26.95,32.05,53.23,76976
37,2019,31020,"Longview, WA",11-3011,Administrative Services Managers,50,60.06,48.28,58.51,70.93,124933
38,2019,34580,"Mount Vernon-Anacortes, WA",11-3011,Administrative Services Managers,53,46.26,38.35,45.58,54.47,96227
39,2019,36500,"Olympia-Tumwater, WA",11-3011,Administrative Services Managers,155,52.82,44.89,53.24,59.96,109873
40,2019,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3011,Administrative Services Managers,2418,47.01,35.53,45.39,56.47,97794
41,2019,42660,"Seattle-Tacoma-Bellevue, WA",11-3011,Administrative Services Managers,3391,63.79,45.18,57.8,75.04,132693
42,2019,44060,"Spokane-Spokane Valley, WA",11-3011,Administrative Services Managers,324,48.28,39.25,46.47,57.42,100407
43,2019,47460,"Walla Walla, WA",11-3011,Administrative Services Managers,35,47.58,32.47,43.6,58.8,98976
44,2019,48300,"Wenatchee, WA",11-3011,Administrative Services Managers,50,51.63,36.87,52.67,66.44,107401
45,2019,49420,"Yakima, WA",11-3011,Administrative Services Managers,86,45.22,36.52,43.62,53.09,94060
46,2019,530006,Western Washington nonmetropolitan area,11-3011,Administrative Services Managers,155,47.2,31.29,42.53,53.75,98165
47,2019,530007,Eastern Washington nonmetropolitan area,11-3011,Administrative Services Managers,158,53.48,35.08,44.89,58.93,111227
48,2019,53,Washington,25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",2355,25.88,22.01,25.72,29.93,53836
49,2019,13380,"Bellingham, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",83,26.13,22.17,24.65,29.85,54336
50,2019,28420,"Kennewick-Richland, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",52,25.85,21.88,24.12,28.4,53769
51,2019,36500,"Olympia-Tumwater, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",46,24.73,22.06,24.19,27.43,51436
52,2019,38900,"Portland-Vancouver-Hillsboro, OR-WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",524,29.83,16.04,24.3,33.3,62052
